621,17,13,101,17,13,67,6,621,1,7181,86,09/28/2020
622,301,57,106,301,57,67,6,622,1,5650,113,07/04/2020
623,378,97,111,378,97,67,6,623,2,4413,104,01/10/2019
624,149,82,116,149,82,67,6,624,3,5075,105,07/25/2017
625,127,14,121,127,14,67,6,625,3,7067,98,04/03/2017
626,389,56,126,389,56,19,1,626,3,6012,115,11/08/2017
627,24,83,131,24,83,19,1,627,5,2090,102,11/03/2019
628,229,82,136,229,82,19,1,628,3,2192,110,08/12/2017
629,96,44,141,96,44,19,1,629,4,7044,86,02/16/2017
630,225,48,146,225,48,19,1,630,2,1844,87,06/28/2018
631,236,99,151,236,99,20,1,631,5,3725,99,04/26/2018
632,121,5,156,121,5,20,1,632,1,1791,114,03/09/2020
633,329,20,161,329,20,20,1,633,1,3460,89,02/17/2017
634,29,2,166,29,2,20,1,634,5,2684,109,07/27/2020
635,293,79,171,293,79,20,1,635,3,3769,113,09/03/2020
636,244,12,176,244,12,78,10,636,2,1200,106,08/04/2017
637,35,79,181,35,79,78,10,637,3,2114,85,06/01/2020
638,155,97,186,155,97,78,10,638,2,3093,119,02/16/2017
639,278,51,191,278,51,78,10,639,5,3986,96,07/09/2017
640,185,88,196,185,88,78,10,640,3,1140,83,02/01/2017
641,15,54,201,15,54,59,5,641,5,2631,91,07/03/2018
642,191,9,206,191,9,59,5,642,4,6454,111,12/04/2018
643,218,22,211,218,22,59,5,643,2,4491,104,04/20/2019
644,304,46,216,304,46,59,5,644,5,4165,119,08/12/2017
645,242,28,221,242,28,59,5,645,5,5233,107,05/10/2018
646,231,39,226,231,39,40,3,646,3,3707,98,11/18/2017
647,140,44,231,140,44,40,3,647,4,4620,82,10/17/2019
648,305,66,236,305,66,40,3,648,1,3750,94,08/16/2018
649,70,65,241,70,65,40,3,649,1,2590,83,11/06/2020
650,387,50,246,387,50,40,3,650,2,4873,107,06/07/2019
651,81,89,251,81,89,81,11,651,1,3512,104,03/23/2019
652,373,22,256,373,22,81,11,652,2,2392,87,11/27/2017
653,43,57,261,43,57,81,11,653,1,7953,120,02/12/2018
654,241,42,266,241,42,81,11,654,2,1889,103,10/06/2019
655,27,61,271,27,61,81,11,655,3,5878,93,11/15/2020
656,27,8,276,27,8,82,11,656,5,1993,93,11/13/2019
657,150,44,281,150,44,82,11,657,4,1546,99,11/25/2017
658,64,1,286,64,1,82,11,658,1,5173,87,09/27/2020
659,276,45,291,276,45,82,11,659,5,1999,112,04/22/2020
660,297,23,296,297,23,82,11,660,3,4839,106,01/27/2019
661,184,52,301,184,52,101,14,661,2,3545,81,04/24/2018
662,107,35,306,107,35,101,14,662,1,5925,83,08/12/2017
663,302,30,311,302,30,101,14,663,3,4754,111,08/27/2020
664,214,34,316,214,34,101,14,664,1,4291,91,07/24/2019
665,37,58,321,37,58,101,14,665,4,2109,117,11/26/2017
666,91,5,326,91,5,91,12,666,1,4324,90,02/22/2020
667,256,19,331,256,19,91,12,667,2,3666,104,03/16/2018
668,384,63,336,384,63,91,12,668,4,4970,98,02/18/2017
669,303,62,341,303,62,91,12,669,4,1203,108,09/12/2020
670,145,30,346,145,30,91,12,670,3,5946,80,05/20/2018
671,157,13,351,157,13,88,12,671,1,2114,119,02/21/2019
672,114,56,356,114,56,88,12,672,3,7753,80,08/17/2019
673,33,94,361,33,94,88,12,673,4,6080,94,10/16/2019
674,186,96,366,186,96,88,12,674,5,3038,109,07/11/2017
675,11,63,371,11,63,88,12,675,4,2128,88,09/14/2017
676,213,16,376,213,16,39,3,676,5,3471,108,03/27/2017
