1,30
1,71
1,23
1,53
1,14
1,29
2,96
2,29
2,55
2,39
3,49
3,47
3,8
4,83
5,31
6,79
7,23
8,29
9,30
10,13
10,15
10,59
11,94
12,73
13,92
14,37
15,20
16,17
17,60
18,33
19,19
20,20
21,40
22,94
23,83
24,65
25,78
26,4
27,6
28,60
29,1
30,69
31,18
32,45
33,78
34,78
35,47
36,75
37,86
38,86
39,29
40,1
41,49
42,9
43,73
44,93
45,21
46,80
47,87
48,86
49,92
50,47
51,76
52,52
53,54
54,20
55,43
56,27
57,12
58,73
59,10
60,56
61,66
62,100
63,72
64,6
65,44
66,43
67,42
68,7
69,83
70,86
71,2
72,69
73,9
74,35
75,72
75,73
75,1
75,51
76,16
76,69
76,51
76,27
77,79
78,14
79,14
79,43
79,95
80,78
80,10
80,88
80,2
80,87
80,7
81,33
81,94
81,80
81,24
82,59
82,83
83,27
83,42
84,9
84,49
84,20
85,92
85,27
86,72
86,65
86,42
86,3
87,29
87,90
87,73
88,48
88,84
88,22
89,24
89,71
89,33
90,14
90,85
90,71
91,70
91,93
91,61
92,92
92,34
92,2
92,48
93,93
94,49
94,25
94,74
94,31
94,73
95,34
95,93
95,38
96,58
97,49
97,66
97,59
98,56
98,5
99,22
100,95
