1,7,Radom
2,7,Warszawa
3,7,Grójec
4,7,P³ock
5,7,Siedlce
6,7,Tarczyn
7,7,Piaseczno
8,7,Zwoleñ
9,7,Pionki
10,7,Kozienice
11,7,Marki
12,7,Karczew
13,7,Otwock
14,1,Karpacz
15,1,Boles³awiec
16,1,Lubawa
17,1,Milicz
18,1,Bardo
19,1,Wroc³aw
20,1,Jelenia Góra
21,1,Niemcza
22,1,Szklarska Porêba
23,1,Lubawa
24,1,Kowary
25,1,Radków
26,1,K³odzko
27,1,Mirsk
28,1,Milicz
29,1,Syców
30,1,Oleœnica
31,2,Ciechocinek
32,2,Inowroc³aw
33,2,Toruñ
34,2,W³oc³awek
35,3,Terespol
36,3,Kraœnik
37,3,Lubartów
38,3,Kock
39,3,Pu³awy
40,3,Parczew
41,3,£êczna
42,4,Nowa Sól
43,4,Rzepin
44,4,Torzym
45,4,Sulechów
46,4,Kargowa
47,4,¯ary
48,4,Gorzów Wielkopolski
49,4,T³owa
50,5,Be³chatów
51,5,Kutno
52,5,Zelów
53,5,£ask
54,5,£owicz
55,5,Radomsko
56,5,Rawa Mazowiecka
57,5,Warta
58,5,Zgierz
59,5,£ódŸ
60,5,Skierniewice
61,5,Sieradz
62,6,Bochnia
63,6,Krynica-Zdrój
64,6,Oœwiêcim
65,6,Kêty
66,6,Nowy S¹cz
67,6,Kraków
68,6,Tarnów
69,8,Kêdzierzyn-KoŸle
70,8,Nysa
71,8,Ujazd
72,8,Paczków
73,9,Dêbica
74,9,Le¿ajsk
75,9,Mielec
76,9,Rzeszów
77,9,Przemyœl
78,10,Bia³ystok
79,11,£eba
80,11,Hel
81,11,Gdañsk
82,11,Sopot
83,11,Ustka
84,11,Jastarnia
85,12,Wis³a
86,12,Cieszyn
87,12,Tarnowskie Góry
88,12,Chorzów
89,12,Bytom
90,12,Gliwice
91,12,Katowice
92,12,Zabrze
93,12,Tychy
94,13,Kielce
95,16,Koszalin
96,16,Szczecin
97,15,Poznañ
98,15,Leszno
99,15,Rawicz
100,14,Nidzica
101,14,Olsztyn
