1,1,1,1,'03-01-2022','04-01-2022'
2,13,2,6,'04-01-2022','05-01-2022'
3,3,3,11,'05-01-2022','06-01-2022'
4,4,4,16,'24-01-2022','25-01-2022'
5,5,5,21,'25-01-2022','25-01-2022'
6,6,6,26,'28-01-2022','29-01-2022'
7,7,7,31,'02-02-2022','03-02-2022'
8,8,8,36,'07-02-2022','08-02-2022'
9,9,9,41,'08-02-2022','09-02-2022'
10,10,10,46,'09-02-2022','09-02-2022'
11,11,11,51,'11-02-2022','12-02-2022'
12,12,12,56,'15-02-2022','16-02-2022'
13,49,13,61,'21-02-2022','22-02-2022'
14,50,14,66,'25-02-2022','26-02-2022'
15,51,15,71,'28-02-2022','29-02-2022'
16,52,16,76,'01-03-2022','02-03-2022'
17,53,17,81,'02-03-2022','03-03-2022'
18,54,18,86,'04-03-2022','05-03-2022'
19,55,19,91,'08-03-2022','09-03-2022'
20,56,20,96,'17-03-2022','18-03-2022'
21,57,21,101,'24-03-2022','26-03-2022'
22,58,22,106,'28-03-2022','30-03-2022'
23,59,23,111,'29-03-2022','29-03-2022'
24,60,24,116,'30-03-2022','30-03-2022'
25,61,25,121,'31-03-2022','02-04-2022'
26,62,26,126,'03-01-2022','05-01-2022'
27,63,27,131,'04-01-2022','06-01-2022'
28,81,28,136,'11-01-2022','13-01-2022'
29,82,29,141,'13-01-2022','15-01-2022'
30,83,30,146,'14-01-2022','16-01-2022'
31,84,31,151,'17-01-2022','19-01-2022'
32,85,32,156,'28-01-2022','30-01-2022'
33,86,33,161,'01-02-2022','03-02-2022'
34,87,34,166,'10-02-2022','12-02-2022'
35,88,35,171,'11-02-2022','13-02-2022'
36,89,36,176,'14-02-2022','16-02-2022'
37,90,37,181,'16-02-2022','18-02-2022'
38,91,38,186,'17-02-2022','19-02-2022'
39,92,39,191,'18-02-2022','20-02-2022'
40,93,40,196,'23-02-2022','25-02-2022'
41,94,41,201,'24-02-2022','24-03-2022'
42,95,42,206,'02-03-2022','02-04-2022'
43,96,43,211,'08-03-2022','08-04-2022'
44,97,44,216,'16-03-2022','16-04-2022'
45,98,45,221,'18-03-2022','18-04-2022'
46,99,46,226,'21-03-2022','21-04-2022'
47,262,47,231,'24-03-2022','24-04-2022'
48,263,48,236,'25-03-2022','25-04-2022'
49,264,49,241,'28-03-2022','28-04-2022'
50,265,50,246,'31-03-2022','31-04-2022'
51,266,51,251,'06-01-2022','06-02-2022'
52,267,52,256,'13-01-2022','13-02-2022'
53,268,53,261,'17-01-2022','17-02-2022'
54,269,54,266,'18-01-2022','18-02-2022'
55,270,55,271,'19-01-2022','19-02-2022'
56,271,56,276,'21-01-2022','21-02-2022'
57,272,57,281,'24-01-2022','24-02-2022'
58,273,58,286,'27-01-2022','27-02-2022'
59,274,59,291,'28-01-2022','28-02-2022'
60,275,60,296,'14-02-2022','14-03-2022'
61,276,61,301,'15-02-2022','15-02-2023'
62,277,62,306,'18-02-2022','18-02-2023'
63,278,63,311,'25-02-2022','25-02-2023'
64,279,64,316,'02-03-2022','02-03-2023'
65,280,65,321,'04-03-2022','04-03-2023'
66,281,66,326,'09-03-2022','09-03-2023'
67,282,67,331,'10-03-2022','10-03-2023'
68,283,68,336,'14-03-2022','14-03-2023'
69,284,69,341,'15-03-2022','15-03-2023'
70,342,70,346,'17-03-2022','17-03-2023'
71,343,71,351,'22-03-2022','22-03-2023'
72,344,72,356,'24-03-2022','24-03-2023'
73,345,73,361,'25-03-2022','25-03-2023'
74,346,74,366,'30-03-2022','30-03-2023'
75,347,75,371,'31-03-2022','31-03-2023'
76,348,76,376,'04-01-2022','04-01-2023'
77,349,77,381,'05-01-2022','05-01-2023'
78,350,78,386,'06-01-2022','06-01-2023'
79,351,79,391,'11-01-2022','11-01-2023'
80,352,80,396,'21-01-2022','21-01-2023'
81,353,81,401,'25-01-2022','25-01-2023'
82,354,82,406,'01-02-2022','01-02-2023'
83,355,83,411,'03-02-2022','03-02-2023'
84,356,84,416,'08-02-2022','08-02-2023'
85,357,85,421,'09-02-2022','09-02-2023'
86,358,86,426,'16-02-2022','16-02-2023'
87,359,87,431,'17-02-2022','17-02-2023'
88,360,88,436,'21-02-2022','21-02-2023'
89,361,89,441,'23-02-2022','23-02-2023'
90,362,90,446,'25-02-2022','25-02-2023'
91,363,91,451,'28-02-2022','28-02-2023'
92,364,92,456,'01-03-2022','01-03-2023'
93,365,93,461,'08-03-2022','08-03-2023'
94,366,94,466,'15-03-2022','15-03-2023'
95,367,95,471,'17-03-2022','17-03-2023'
96,368,96,476,'18-03-2022','18-03-2023'
97,369,97,481,'21-03-2022','21-03-2023'
98,370,98,486,'22-03-2022','22-03-2023'
99,375,99,491,'25-03-2022','25-03-2023'
100,376,100,496,'29-03-2022','29-03-2023'
101,90,29,1,'21-04-2022','10-01-2023'
102,14,61,6,'27-04-2022','11-01-2023'
103,182,99,11,'06-05-2022','12-01-2023'
104,356,85,16,'09-05-2022','16-01-2023'
105,123,62,21,'11-05-2022','23-01-2023'
106,269,79,26,'13-05-2022','24-01-2023'
107,209,81,31,'19-05-2022','25-01-2023'
108,341,56,36,'23-05-2022','27-01-2023'
109,100,16,41,'31-05-2022','02-02-2023'
110,144,19,46,'02-06-2022','08-02-2023'
111,211,24,51,'14-06-2022','09-02-2023'
112,259,45,56,'21-06-2022','13-02-2023'
113,144,58,61,'23-06-2022','14-02-2023'
114,115,85,66,'01-07-2022','15-02-2023'
115,98,25,71,'26-07-2022','16-02-2023'
116,111,46,76,'24-08-2022','20-02-2023'
117,99,63,81,'07-09-2022','21-02-2023'
118,230,33,86,'09-09-2022','22-02-2023'
119,287,30,91,'03-10-2022','24-02-2023'
120,330,21,96,'18-10-2022','02-03-2023'
121,79,20,101,'21-11-2022','06-03-2023'
122,167,33,106,'07-12-2022','08-03-2023'
123,234,87,111,'16-12-2022','09-03-2023'
124,70,28,116,'23-12-2022','20-03-2023'
125,24,11,121,'27-12-2022','27-03-2023'
126,280,13,126,'21-04-2022','06-01-2023'
127,170,31,131,'04-05-2022','11-01-2023'
128,365,15,136,'24-05-2022','12-01-2023'
129,360,14,141,'01-06-2022','13-01-2023'
130,358,39,146,'03-06-2022','16-01-2023'
131,37,41,151,'07-06-2022','19-01-2023'
132,114,80,156,'01-07-2022','24-01-2023'
133,210,39,161,'05-07-2022','31-01-2023'
134,35,67,166,'10-08-2022','02-02-2023'
135,118,27,171,'22-08-2022','03-02-2023'
136,289,18,176,'31-08-2022','07-02-2023'
137,329,77,181,'07-09-2022','08-02-2023'
138,357,47,186,'09-09-2022','13-02-2023'
139,136,47,191,'29-09-2022','14-02-2023'
140,118,55,196,'04-10-2022','15-02-2023'
141,354,69,201,'10-10-2022','17-02-2023'
142,177,22,206,'18-10-2022','22-02-2023'
143,308,100,211,'02-11-2022','27-02-2023'
144,323,89,216,'21-11-2022','02-03-2023'
145,248,18,221,'23-11-2022','08-03-2023'
146,244,84,226,'28-11-2022','21-03-2023'
147,215,31,231,'02-12-2022','22-03-2023'
148,15,99,236,'12-12-2022','24-03-2023'
149,15,37,241,'16-12-2022','27-03-2023'
150,4,60,246,'20-12-2022','29-03-2023'
151,61,30,251,'19-04-2022','02-01-2023'
152,329,16,256,'25-04-2022','06-01-2023'
153,339,66,261,'27-04-2022','09-01-2023'
154,86,82,266,'03-05-2022','10-01-2023'
155,88,89,271,'06-05-2022','16-01-2023'
156,151,1,276,'26-05-2022','17-01-2023'
157,52,18,281,'02-06-2022','18-01-2023'
158,195,74,286,'08-06-2022','19-01-2023'
159,241,32,291,'08-07-2022','23-01-2023'
160,360,7,296,'20-07-2022','25-01-2023'
161,241,38,301,'27-07-2022','01-02-2023'
162,194,16,306,'25-08-2022','03-02-2023'
163,244,10,311,'16-09-2022','07-02-2023'
164,31,59,316,'22-09-2022','13-02-2023'
165,31,16,321,'03-10-2022','20-02-2023'
166,180,83,326,'06-10-2022','21-02-2023'
167,147,20,331,'26-10-2022','23-02-2023'
168,324,77,336,'27-10-2022','27-02-2023'
169,366,91,341,'31-10-2022','10-03-2023'
170,376,32,346,'01-11-2022','13-03-2023'
171,197,59,351,'15-11-2022','15-03-2023'
172,44,58,356,'25-11-2022','16-03-2023'
173,332,84,361,'13-12-2022','22-03-2023'
174,133,69,366,'20-12-2022','23-03-2023'
175,282,79,371,'22-12-2022','24-03-2023'
176,347,95,376,'04-05-2022','02-01-2023'
177,61,2,381,'06-05-2022','03-01-2023'
178,118,64,386,'19-05-2022','04-01-2023'
179,178,60,391,'25-05-2022','10-01-2023'
180,350,18,396,'08-06-2022','12-01-2023'
181,380,6,401,'13-06-2022','13-01-2023'
182,19,30,406,'16-06-2022','18-01-2023'
183,278,70,411,'07-07-2022','26-01-2023'
184,195,25,416,'13-07-2022','01-02-2023'
185,39,54,421,'14-07-2022','08-02-2023'
186,8,40,426,'26-07-2022','10-02-2023'
187,130,35,431,'28-07-2022','15-02-2023'
188,370,84,436,'29-07-2022','17-02-2023'
189,180,94,441,'10-08-2022','20-02-2023'
190,45,93,446,'12-08-2022','21-02-2023'
191,75,65,451,'26-08-2022','23-02-2023'
192,214,32,456,'02-09-2022','24-02-2023'
193,206,26,461,'15-09-2022','27-02-2023'
194,66,91,466,'14-10-2022','02-03-2023'
195,161,27,471,'18-10-2022','06-03-2023'
196,194,24,476,'25-10-2022','14-03-2023'
197,1,76,481,'04-11-2022','20-03-2023'
198,371,92,486,'22-11-2022','22-03-2023'
199,74,80,491,'06-12-2022','23-03-2023'
200,62,43,496,'07-12-2022','28-03-2023'
201,284,84,161,'26-04-2022','04-01-2023'
202,151,9,166,'06-06-2022','05-01-2023'
203,131,69,171,'13-06-2022','06-01-2023'
204,247,48,396,'16-06-2022','13-01-2023'
205,126,89,401,'28-06-2022','19-01-2023'
206,83,51,406,'11-07-2022','23-01-2023'
207,42,21,411,'12-07-2022','26-01-2023'
208,179,66,416,'20-07-2022','27-01-2023'
209,132,90,421,'29-07-2022','30-01-2023'
210,144,42,1,'02-08-2022','31-01-2023'
211,197,50,396,'09-08-2022','02-02-2023'
212,59,55,401,'17-08-2022','03-02-2023'
213,375,4,406,'18-08-2022','13-02-2023'
214,44,13,411,'29-08-2022','22-02-2023'
215,368,61,416,'01-09-2022','23-02-2023'
216,236,47,421,'16-09-2022','24-02-2023'
