1,130,350
2,110,350
3,100,350
4,99,350
5,119,350
6,150,350
7,50,350
8,59,350
9,180,350
10,199,350
11,200,400
12,225,400
13,250,400
14,270,400
15,280,400
16,299,400
17,300,450
18,310,500
19,320,500
20,330,500
21,340,500
22,350,500
23,370,500
24,399,500
25,400,500
26,410,500
27,420,500
28,430,500
29,440,600
30,450,600
31,460,600
32,470,600
33,480,600
34,490,600
35,499,600
36,500,700
37,510,700
38,520,700
39,530,700
40,540,700
41,550,700
42,560,700
43,570,700
44,580,700
45,590,700
46,599,700
47,600,800
48,610,800
49,620,800
50,630,800
51,640,800
52,650,800
53,660,800
54,670,800
55,680,800
56,690,800
57,699,800
58,109,350
59,129,350
60,139,350
61,149,350
62,159,350
63,169,350
64,179,350
65,189,350
66,209,400
67,219,400
68,229,400
69,239,400
70,249,400
71,259,400
72,269,400
73,279,400
74,289,400
75,309,450
76,319,450
77,329,450
78,339,450
79,349,450
80,359,450
81,379,450
82,369,450
83,389,450
84,409,500
85,419,500
86,429,500
87,439,500
88,449,500
89,459,500
90,469,500
91,479,500
92,489,500
93,509,700
94,519,700
95,529,700
96,539,700
97,549,700
98,559,700
99,569,700
100,579,700
